"Checked
Overené","Commands
Príkazy","Mittigation / Best practice configuration
Mitigácia / Konfigurácia typu “Best practice”","Attack / Issue
Útok / Problém","Plane [DATA|CONTROL
|MANAGEMENT]","Protocol
Protokol","Severity
Závažnosť
[CRITICAL|HIGH
|MEDIUM|LOW|NOTIFY]
CCNA SEC STUDY GUIDE","Facility
Zariadenie
[R/L3SW|L2SW]","Facility layer
Zariadenie operujúce na vrstve
[ACC/DIST/CORE]","Source(s)
Zdroj(e)","Prerequisite
Prerekvizita
","Ports
Porty","Comments
Komentáre","MY Comment"
,"hostname <hostname>","Set hostname / Vytvoriť hostname","Unable to identify device / Nemožná identifikácia zariadenia","Management","NONE","LOW","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"ip domain-name <domain>","Set domain name / Vytvoriť doménové meno","NONE / NIE JE","Management","NONE","LOW","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,
,"ip access-list standard ACL_NAME
 remark permit specifi ip and log
 permit <ip address> <mask> log-input
 remark deny other and log
 deny any log-input

ipv6 access-list ACL_NAME
 remark permit specifi ip and log
 permit <ipv6 address>/<prefix> any log-input
 remark deny other and log
 deny any any log-input

OR in global config 

login on-failure log-input
login on-failure trap
login on-failure
login on-success log-input
login on-success trap
login on-success","Set and apply ACL for OOB, Telnet, SSH, etc. and log access / Vytvoriť a aplikovať ACL pre OOB, Telnet, SSH a pod. a zaznamenať v logu prístupy","Unauthorized access to management of device/Nepovolený prístup k manažovaniu zariadenia","Management","NONE","CRITICAL","ALL","ALL","Hardening Cisco Routers
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,"LOG ON SUCCESS CAN BE SUPRESS WHEN AAA IS USED
https://community.cisco.com/t5/other-security-subjects/how-to-log-failed-telnet-attempts/td-p/1400439"
,"line vty <num> <num>
 ip access-class <acl name> in
 ipv6 access-class <acl name> in

line tty <num> <num>
 ip access-class <acl name> in
 ipv6 access-class <acl name> in

line con <num>
 ip access-class <acl name> in
 ipv6 access-class <acl name> in

line aux <num>
 ip access-class <acl name> in
 ipv6 access-class <acl name> in","Set and apply ACL for OOB, Telnet, SSH, etc. and log access / Vytvoriť a aplikovať ACL pre OOB, Telnet, SSH a pod. a zaznamenať v logu prístupy","Unauthorized access to management of device/Nepovolený prístup k manažovaniu zariadenia","Management","NONE","CRITICAL","ALL","ALL","Hardening Cisco Routers
CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,"treba aj console port?"
,"line aux 0
 no exec
 transport input none","Disable unused management connections / Vypnúť nepoužívané protokoly na prístup k manažovaniu zariadení (telnet a pod.)","Unauthorized access through unsecured and unused management connections / Neautorizovaný prístup cez nepoužívané a nezabezpečené protokoly na manažment zariadení","Management","NONE","HIGH","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Guide to Harden Cisco IOS Devices
https://www.cisco.com/c/en/us/support/docs/ip/access-lists/13608-21.html",,,,
,"line vty <num> <num>
 password
 login| login local

line tty <num> <num>
 password
 login| login local

line con <num>
 password
 login| login local

line aux <num>
 password
 login| login local","Configure management connections to ask for credentials / Nakonfigruovanie protokolov na manažment zariadení, aby požadovali prístupové údaje (telnet a pod.)","Access without credentials / Prítup bez požadovaných prístupových údajov","Management","NONE","CRITICAL","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco",,,,"CANNOT HAVE “no login”"
,"line vty <num> <num>
  login local
  transport input ssh","SSH enable / Zapnutie SSH","Not using secured management connections can lead to  eavesdropping / Nepoužívanie zabezpečeného protokolu na manažment zariadení môže viesť k odposluchu","Management","SSH","CRITICAL","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,"Prequrities – local user, created domain and hostname, generated rsa. 
username cisco secret ciscopsswd
ip domain-name my_domain
crypto key generate rsa modulus 1024
ip ssh version 2
line vty 0 15
  login local
  transport input ssh"
,"ip ssh version 2","SSH version 2 / SSH verzia 2","Unsecured SSH v1 / Nebezpečná verzia 1 protokolu SSH","Management","SSH","CRITICAL","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
",,,,
,"ip ssh timeout <timeout seconds>","SSH timeout / SSH čas vypršania sedenia","Long inactive sessions can be stolen or physical access to device which is not lock can be used to manipulate with configurations / Dlhé neaktívne sedenie môže byť zneužité alebo aj fyzický prístup útočníka k aktívnemu sedeniu môže viesť k zmene konfigurácie","Management","SSH","MEDIUM","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
Cisco Router Hardening",,,,"NOT SURE WHAT IS APPLIED EXEC-TIMEOUT OR SSH TIMEOUT"
,"crypto key generate rsa modulus 2048","Set RSA key length >= 2048 / Dĺžka RSA kľúča minimálne 2048 bitov","Short RSA key attack/Útok na krátky RSA kĺúč","Management","SSH","CRITICAL","ALL","ALL","CIS Cisco IOS 15 Benchmark v4.0.0 
https://www.cisecurity.org/cis-benchmarks/#cisco
NIST
https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-131Ar2.pdf",,,,
,"ip ssh authentication-retries <max num>","SSH auth max retries / SSH maximálny počet neúspešných pokusov","Guessing RSA key passphrase / Hádanie hesla k RSA kľúču","Management","SSH","HIGH","ALL","ALL","https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/sec_usr_ssh/configuration/15-s/sec-usr-ssh-15-s-book/sec-usr-ssh-sec-shell.html",,,,
,"login block-for 60 attempts 3 within 30","Wait for specific time to allow another access after N unsuccessful login attempts / Špecifikovať čas po ktorý nie je možné po N pokusoch sa prihlásiť","Brute force attack to guess credentials / Útok hrubou silou na zistenie prihlasovacích údajov","Management","NONE","HIGH","ALL","ALL","Cisco router configuration handbook
https://www.samuraj-cz.com/clanek/cisco-ios-23-autentizace-uzivatele-na-switchi-vuci-active-directory/",,,,
